#A;#P;Product;Size;Ertrag;Col;Eng;T
5;41;Wolle;35;974;GR;x;30
5;30;Tisch;56;2069;GR;x;15
5;25;Fass;27;1349;BL;x;30
5;31;Kleiderschrank;51;3092;YE;x;15
5;22;Kupferdraht;32;1454;GR;x;30
5;25;Fass;29;1448;BL;x;30
5;17;Kupfer ;37;1848;BL;x;30
5;40;Milch;41;1281;GR;x;15
5;27;Palette;61;1960;x;O;15
5;39;Mehl;21;1011;BL;x;30
5;37;Plastik;23;716;GR;x;30
5;26;Sperrholz;32;1761;BL;x;30
5;41;Wolle;34;1175;GR;x;15
5;35;Benzin;37;2444;BL;x;30
5;37;Plastik;43;1195;BL;x;15
5;17;Kupfer ;21;856;GR;x;30
5;41;Wolle;37;1524;PU;x;30
5;29;Stuhl;40;1484;BL;x;15
5;22;Kupferdraht;21;1216;BL;x;30
5;35;Benzin;31;1691;x;S;15
5;30;Tisch;51;2426;BL;x;15
5;22;Kupferdraht;32;1483;GR;x;30
5;35;Benzin;27;1419;GR;x;30
5;29;Stuhl;58;1733;GR;x;15
5;22;Kupferdraht;32;1502;x;S;15
5;30;Tisch;28;1656;BL;x;30
5;42;Salz;37;1419;PU;x;15
5;17;Kupfer ;34;1339;x;S;15
5;23;Stahlblech;34;2087;PU;x;30
5;20;Nägel;70;2090;GR;x;15
5;42;Salz;41;1393;x;S;15
5;26;Sperrholz;42;3037;YE;x;30
5;40;Milch;67;3093;PU;x;15
5;6;Stahl;24;992;PU;x;30
5;25;Fass;58;1863;GR;x;15
5;19;Eisenpulver;67;1293;GR;x;15
5;32;Kunststoffmöbel;41;1350;GR;x;30
5;17;Kupfer ;24;1197;BL;x;30
5;7;Bauholz;34;1458;GR;x;30
5;31;Kleiderschrank;26;1218;GR;x;30
5;27;Palette;28;1365;PU;x;30
5;20;Nägel;35;1308;x;O;15
5;26;Sperrholz;43;1886;GR;x;30
5;35;Benzin;45;2377;GR;x;30
5;7;Bauholz;37;2280;PU;x;30
5;29;Stuhl;40;1530;GR;x;30
5;26;Sperrholz;23;1464;PU;x;30
5;33;Couch;53;2758;PU;x;15
5;29;Stuhl;37;1605;PU;x;15
5;26;Sperrholz;42;1901;BL;x;15
5;20;Nägel;32;1224;GR;x;30
5;30;Tisch;27;1853;PU;x;30
5;39;Mehl;25;966;GR;x;30
5;29;Stuhl;49;1883;x;S;15
5;23;Stahlblech;40;1764;GR;x;30
5;19;Eisenpulver;60;1461;x;E;15
5;26;Sperrholz;70;3227;BL;x;15
5;33;Couch;80;3688;x;S;15
5;20;Nägel;40;1559;GR;x;30
5;17;Kupfer ;60;2446;x;S;15
5;19;Eisenpulver;80;2493;YE;x;15
5;23;Stahlblech;50;2139;BL;x;30
5;42;Salz;30;1058;GR;x;30
5;6;Stahl;60;1516;BL;x;15
5;26;Sperrholz;130;5791;GR;x;30
5;29;Stuhl;40;1541;x;S;15
5;7;Bauholz;80;3604;BL;x;15
5;26;Sperrholz;30;1349;GR;x;30
5;23;Stahlblech;50;3157;PU;x;30
5;29;Stuhl;40;1549;GR;x;30
5;35;Benzin;80;4646;x;O;15
5;21;Sägeblatt;60;2234;BL;x;15
5;6;Stahl;30;1071;BL;x;30
5;42;Salz;40;1437;GR;x;30
5;32;Kunststoffmöbel;60;2229;PU;x;15
5;21;Sägeblatt;80;3456;PU;x;15
5;37;Plastik;40;1226;GR;x;30
5;19;Eisenpulver;60;1172;GR;x;15
5;32;Kunststoffmöbel;50;1690;GR;x;30
5;19;Eisenpulver;40;1581;PU;x;30
5;7;Bauholz;60;2728;BL;x;15
5;6;Stahl;40;1427;BL;x;30
5;21;Sägeblatt;30;1853;YE;x;30
5;7;Bauholz;50;2273;x;O;15
5;32;Kunststoffmöbel;90;2348;GR;x;15
5;42;Salz;50;2605;PU;x;30
5;30;Tisch;50;2560;BL;x;15
5;27;Palette;40;1407;GR;x;30
5;39;Mehl;90;4062;PU;x;15
5;17;Kupfer ;70;2933;x;O;15
5;37;Plastik;50;1933;BL;x;30
5;22;Kupferdraht;40;1917;GR;x;30
5;6;Stahl;70;1818;x;O;15
5;20;Nägel;70;2747;x;O;15
5;27;Palette;130;4573;GR;x;30
