#A;#P;Product;Size;Ertrag;Col;Eng;T
5;23;Stahlblech;94;3973;GR;x;30
5;6;Stahl;109;3913;BL;x;30
5;32;Kunststoffmöbel;19;3854;YE;x;480
5;31;Kleiderschrank;106;4960;GR;x;30
5;26;Sperrholz;110;4891;GR;x;30
5;40;Milch;98;4990;BL;x;30
5;20;Nägel;98;4647;BL;x;30
5;41;Wolle;97;2677;GR;x;30
5;40;Milch;92;6010;YE;x;30
5;6;Stahl;101;3638;BL;x;30
5;31;Kleiderschrank;100;4684;GR;x;30
5;20;Nägel;80;3867;BL;x;30
5;42;Salz;102;3652;GR;x;30
5;31;Kleiderschrank;114;5392;GR;x;30
5;25;Fass;20;4061;PU;x;480
5;35;Benzin;102;5341;GR;x;30
5;20;Nägel;21;4012;PU;x;480
5;37;Plastik;21;3904;YE;x;480
5;21;Sägeblatt;109;4060;GR;x;30
5;25;Fass;96;6267;YE;x;30
5;31;Kleiderschrank;100;7639;YE;x;30
5;42;Salz;21;4048;YE;x;480
5;25;Fass;126;8304;YE;x;30
5;32;Kunststoffmöbel;96;4024;BL;x;30
5;30;Tisch;101;6082;BL;x;101
5;23;Stahlblech;120;5222;GR;x;30
5;37;Plastik;130;5675;PU;x;30
5;20;Nägel;110;5322;BL;x;30
5;42;Salz;110;5678;PU;x;30
5;41;Wolle;30;5374;PU;x;480
