#A;#P;Product;Size;Ertrag;Col;Eng;T
5;3;Eisenerz;35;367;GR;x;3
5;12;Vieh;26;463;GR;x;3
5;8;Holz;34;541;BL;x;3
5;9;Kupfererz;28;356;GR;x;3
5;13;Steinsalz;36;693;BL;x;3
5;8;Holz;32;616;BL;x;3
5;13;Steinsalz;21;324;GR;x;3
5;4;Kohle;17;152;GR;x;3
5;12;Vieh;30;487;BL;x;3
5;9;Kupfererz;19;299;GR;x;3
5;13;Steinsalz;35;688;BL;x;3
5;29;Stuhl;272;4816;BL;x;1
5;36;Klebstoff;251;2770;GR;x;1
5;29;Stuhl;249;3562;GR;x;1
5;4;Kohle;33;497;BL;x;3
5;13;Steinsalz;21;368;GR;x;3
5;9;Kupfererz;35;854;YE;x;3
5;13;Steinsalz;21;454;PU;x;3
5;12;Vieh;25;295;GR;x;3
5;12;Vieh;41;581;GR;x;3
5;4;Kohle;31;506;PU;x;3
5;8;Holz;26;460;BL;x;3
5;13;Steinsalz;30;531;BL;x;3
5;25;Fass;275;5446;BL;x;1
5;4;Kohle;38;370;GR;x;3
5;13;Steinsalz;25;354;GR;x;3
5;3;Eisenerz;44;703;YE;x;3
5;6;Stahl;290;2396;GR;x;1
5;13;Steinsalz;45;896;BL;x;3
5;4;Kohle;38;513;PU;x;3
5;13;Steinsalz;36;615;BL;x;3
5;13;Steinsalz;28;478;BL;x;3
5;29;Stuhl;291;7204;YE;x;1
5;13;Steinsalz;27;548;BL;x;3
5;17;Kupfer ;283;4694;GR;x;1
5;42;Salz;40;585;BL;x;3
5;8;Holz;50;585;GR;x;3
5;3;Eisenerz;30;275;GR;x;3
5;42;Salz;30;650;YE;x;3
5;8;Holz;40;667;BL;x;3
5;9;Kupfererz;30;400;GR;x;3
5;12;Vieh;30;400;GR;x;3
5;4;Kohle;40;367;GR;x;3
5;41;Wolle;320;3169;BL;x;1
5;3;Eisenerz;40;502;YE;x;3
5;8;Holz;40;628;GR;x;3
5;4;Kohle;40;463;BL;x;3
5;8;Holz;50;673;GR;x;3
5;9;Kupfererz;50;842;BL;x;3
5;13;Steinsalz;40;628;GR;x;3
5;4;Kohle;40;702;YE;x;3
5;13;Steinsalz;40;539;GR;x;3
5;13;Steinsalz;30;404;GR;x;3
5;3;Eisenerz;30;351;BL;x;3
5;13;Steinsalz;50;566;GR;x;3
5;39;Mehl;350;5525;GR;x;1
5;3;Eisenerz;40;472;BL;x;3
5;3;Eisenerz;30;283;GR;x;3
5;8;Holz;30;514;BL;x;3
5;3;Eisenerz;60;660;GR;x;3
5;13;Steinsalz;40;686;BL;x;3
5;8;Holz;30;514;BL;x;3
5;4;Kohle;30;295;BL;x;3
5;12;Vieh;40;686;BL;x;3
